scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
1,Active Inference,1,9317.0,26102062.417,80.756,238,363
1,Active Inference,2,9576.0,26383260.08,77.7397,232,364
1,Active Inference,3,8965.0,26193425.216,79.5222,234,364
1,Active Inference,4,8726.0,26375820.892,83.5664,241,364
1,Active Inference,5,7804.0,26224416.545,81.8182,236,364
1,Active Inference,6,11541.0,26946549.961,78.3051,229,363
1,Active Inference,7,10894.0,26873982.027,80.9028,226,363
1,Active Inference,8,9996.0,26614800.656,80.0664,228,365
1,Active Inference,9,10165.0,26238119.042,80.8725,229,365
1,Active Inference,10,10996.0,26911400.763,82.3529,227,363
1,Active Inference,11,9423.0,26496681.99,81.9728,228,363
1,Active Inference,12,11601.0,26626921.724,80.678,225,365
1,Active Inference,13,11895.0,27227991.593,78.8591,226,364
1,Active Inference,14,10984.0,26927433.086,82.1918,220,364
1,Active Inference,15,9971.0,26636281.308,81.5972,227,363
1,Active Inference,16,8065.0,26285809.366,79.0378,238,363
1,Active Inference,17,11505.0,26883246.556,80.137,234,364
1,Active Inference,18,9298.0,26531594.201,80.0,232,363
1,Active Inference,19,10583.0,26862683.999,82.4138,235,364
1,Active Inference,20,8656.0,26560637.601,78.4053,241,363
1,Active Inference,21,8550.0,26007906.454,80.3448,240,363
1,Active Inference,22,8890.0,26501454.074,80.0,238,364
1,Active Inference,23,10536.0,27018508.575,80.0,222,363
1,Active Inference,24,8480.0,26706340.365,81.6327,236,363
1,Active Inference,25,10919.0,27144416.92,81.0811,219,363
1,Active Inference,26,9896.0,27009762.141,80.8725,238,365
1,Active Inference,27,10196.0,26721598.457,75.6667,228,364
1,Active Inference,28,9751.0,26535712.555,84.6154,228,364
1,Active Inference,29,9598.0,26618019.545,80.0676,235,364
1,Active Inference,30,12277.0,27305817.318,80.1347,224,363
1,Active Inference,31,9137.0,26827755.237,81.25,222,363
1,Active Inference,32,11258.0,26824858.246,82.069,238,363
1,Active Inference,33,12009.0,26922064.364,80.9524,216,366
1,Active Inference,34,11432.0,27107368.959,81.1644,223,363
1,Active Inference,35,12081.0,26941479.71,81.6327,223,364
1,Active Inference,36,9706.0,26662510.464,83.3333,234,364
1,Active Inference,37,10739.0,26831555.861,80.2721,215,363
1,Active Inference,38,10214.0,26470315.5,80.137,236,364
1,Active Inference,39,10442.0,26444173.462,78.0069,221,365
1,Active Inference,40,9549.0,26420931.244,82.5784,236,363
1,Active Inference,41,9902.0,26511915.252,80.4795,237,364
1,Active Inference,42,10305.0,26878758.047,79.7297,237,364
1,Active Inference,43,9421.0,26617245.39,83.8488,238,364
1,Active Inference,44,9331.0,26306866.666,81.8493,236,364
1,Active Inference,45,8845.0,26376238.361,80.8362,228,364
1,Active Inference,46,8388.0,26548026.991,80.4054,244,364
1,Active Inference,47,10032.0,26548787.838,78.1457,229,364
1,Active Inference,48,12161.0,27146929.381,83.6237,219,363
1,Active Inference,49,11707.0,27366478.092,81.1644,229,364
1,Active Inference,50,8668.0,26513968.992,81.6327,237,364
1,Active Inference,51,8628.0,26671117.014,80.4054,248,364
1,Active Inference,52,10862.0,26860702.635,81.6327,211,364
1,Active Inference,53,9971.0,26889130.306,76.9231,233,364
1,Active Inference,54,11316.0,27147662.943,80.9689,236,363
1,Active Inference,55,10699.0,26854613.928,80.339,233,363
1,Active Inference,56,10873.0,26918213.123,80.9689,227,363
1,Active Inference,57,9740.0,26642188.07,82.8179,230,364
1,Active Inference,58,8995.0,26309673.154,82.6389,241,363
1,Active Inference,59,10568.0,26588809.885,79.0941,234,364
1,Active Inference,60,9246.0,26327776.123,82.9268,233,365
1,Active Inference,61,8689.0,26500228.118,80.0,229,363
1,Active Inference,62,11156.0,26791153.102,81.8792,212,363
1,Active Inference,63,7986.0,26039710.191,81.8493,241,363
1,Active Inference,64,9968.0,26307707.01,80.4795,237,364
1,Active Inference,65,12018.0,27173735.336,81.8493,232,363
1,Active Inference,66,9854.0,26626155.352,83.391,225,364
1,Active Inference,67,10679.0,26997308.296,78.1145,230,364
1,Active Inference,68,8800.0,26227529.328,76.7677,239,364
1,Active Inference,69,9733.0,26567245.813,81.5068,231,364
1,Active Inference,70,9137.0,26401053.06,80.756,228,364
1,Active Inference,71,9728.0,26254986.021,82.2148,236,364
1,Active Inference,72,8536.0,26447672.436,79.3814,236,363
1,Active Inference,73,9502.0,26475826.218,80.5461,232,366
1,Active Inference,74,11007.0,26510483.087,78.5714,226,364
1,Active Inference,75,13043.0,27165444.997,79.2079,223,363
1,Active Inference,76,9210.0,26674242.666,80.137,228,363
1,Active Inference,77,9792.0,26584475.974,78.9116,228,363
1,Active Inference,78,8720.0,26555175.953,79.9308,242,364
1,Active Inference,79,10627.0,26915839.215,81.0345,215,364
1,Active Inference,80,11659.0,26670850.185,79.8013,231,363
1,Active Inference,81,12767.0,26828208.869,78.7162,212,364
1,Active Inference,82,7756.0,26298013.665,79.4521,248,363
1,Active Inference,83,8693.0,26354855.087,80.8219,232,364
1,Active Inference,84,10829.0,26751887.056,83.045,221,363
1,Active Inference,85,8987.0,26316398.822,81.25,234,363
1,Active Inference,86,11970.0,27517838.842,81.6393,230,364
1,Active Inference,87,10113.0,26434628.299,82.8767,241,363
1,Active Inference,88,10165.0,26609905.046,77.0,225,365
1,Active Inference,89,11349.0,26593976.836,78.3972,219,363
1,Active Inference,90,9487.0,26499023.685,84.6154,248,363
1,Active Inference,91,10901.0,26610154.577,80.3333,224,366
1,Active Inference,92,9787.0,26252064.907,84.2105,241,363
1,Active Inference,93,11009.0,26963600.073,79.3333,239,363
1,Active Inference,94,11544.0,26963452.479,81.2287,230,364
1,Active Inference,95,11343.0,26752035.164,79.322,223,364
1,Active Inference,96,8940.0,26362493.64,79.7297,232,363
1,Active Inference,97,9304.0,26711617.624,79.5139,231,363
1,Active Inference,98,7622.0,26258549.798,81.8493,257,364
1,Active Inference,99,10333.0,26888354.995,77.9661,228,363
1,Active Inference,100,10104.0,26707242.811,80.2013,228,363
2,Active Inference,1,11808.0,26571891.886,81.9728,230,364
2,Active Inference,2,11350.0,26687638.675,81.9113,220,364
2,Active Inference,3,8125.0,26124083.108,82.7586,253,364
2,Active Inference,4,10105.0,26428045.015,81.4947,232,363
2,Active Inference,5,9046.0,26547401.422,80.8219,238,366
2,Active Inference,6,10571.0,26736970.879,81.0345,221,363
2,Active Inference,7,8717.0,26354505.97,80.5461,248,363
2,Active Inference,8,11196.0,26631334.814,81.1644,224,363
2,Active Inference,9,8838.0,26245050.578,79.5918,220,364
2,Active Inference,10,9932.0,26253802.111,78.0731,235,363
2,Active Inference,11,9996.0,26791800.909,80.1347,235,364
2,Active Inference,12,11244.0,26884075.027,80.8219,225,365
2,Active Inference,13,9790.0,26545019.834,76.2542,226,364
2,Active Inference,14,10813.0,27041032.718,79.6053,235,365
2,Active Inference,15,11096.0,26990966.705,79.2388,232,363
2,Active Inference,16,10144.0,27026392.572,80.0,229,363
2,Active Inference,17,9233.0,26256313.998,80.9689,230,365
2,Active Inference,18,11017.0,26642248.484,78.0069,235,364
2,Active Inference,19,10408.0,26713108.725,85.3242,235,363
2,Active Inference,20,9728.0,26789735.523,82.7703,230,363
2,Active Inference,21,9246.0,27032242.702,81.3559,244,364
2,Active Inference,22,10684.0,27013395.68,81.7869,230,364
2,Active Inference,23,8791.0,26635564.174,80.2048,229,364
2,Active Inference,24,7983.0,26017975.258,80.339,235,364
2,Active Inference,25,11679.0,27159425.858,80.1394,217,363
2,Active Inference,26,12413.0,27180863.719,77.4411,204,363
2,Active Inference,27,9084.0,26469745.26,78.1879,244,364
2,Active Inference,28,11209.0,26682353.269,79.661,224,364
2,Active Inference,29,9428.0,26866887.927,79.8611,241,363
2,Active Inference,30,11710.0,26882219.438,83.0508,221,363
2,Active Inference,31,9972.0,26595464.727,84.8276,239,365
2,Active Inference,32,10501.0,26151633.887,79.8658,232,363
2,Active Inference,33,9563.0,26543292.124,85.4167,232,363
2,Active Inference,34,9997.0,26883453.886,82.3729,244,363
2,Active Inference,35,10800.0,26643832.384,82.2742,227,363
2,Active Inference,36,7670.0,26261002.388,84.8276,253,363
2,Active Inference,37,9521.0,26378394.095,79.5918,240,363
2,Active Inference,38,9721.0,26164166.156,79.798,227,363
2,Active Inference,39,10114.0,26401304.722,81.2925,225,364
2,Active Inference,40,10964.0,26606528.596,82.5784,225,363
2,Active Inference,41,10900.0,26605104.496,85.0174,232,363
2,Active Inference,42,9354.0,26209263.468,80.0687,228,364
2,Active Inference,43,12685.0,26768416.939,80.7018,220,364
2,Active Inference,44,11045.0,26984975.166,82.5939,236,365
2,Active Inference,45,10178.0,26746656.552,82.699,221,363
2,Active Inference,46,9537.0,26466323.67,78.6942,231,364
2,Active Inference,47,9086.0,26467548.36,78.3784,237,363
2,Active Inference,48,11155.0,26790267.589,81.1448,229,364
2,Active Inference,49,8912.0,26095373.982,83.4483,236,363
2,Active Inference,50,8966.0,26326457.946,80.5556,237,363
2,Active Inference,51,11405.0,26774392.921,78.3051,237,364
2,Active Inference,52,9847.0,26767853.451,84.1379,240,363
2,Active Inference,53,10127.0,26471001.743,79.7203,243,363
2,Active Inference,54,9386.0,26285847.993,82.8767,237,364
2,Active Inference,55,10744.0,26689762.854,83.2192,225,364
2,Active Inference,56,10860.0,26784914.153,80.137,233,364
2,Active Inference,57,10255.0,26758924.695,77.8878,223,364
2,Active Inference,58,8167.0,26028053.384,77.7778,245,363
2,Active Inference,59,10857.0,26939281.042,78.3784,213,363
2,Active Inference,60,9194.0,26844009.868,82.5784,234,364
2,Active Inference,61,9803.0,27007552.367,85.1724,221,364
2,Active Inference,62,9528.0,26578947.036,80.8081,237,364
2,Active Inference,63,10650.0,26510041.479,81.7869,235,364
2,Active Inference,64,8329.0,26076485.634,80.2768,240,363
2,Active Inference,65,10720.0,26673026.274,78.4247,229,363
2,Active Inference,66,9952.0,27175415.583,83.391,230,363
2,Active Inference,67,8002.0,26092923.343,79.4521,260,364
2,Active Inference,68,9869.0,26622717.741,78.0405,241,364
2,Active Inference,69,11807.0,27417564.427,77.8912,232,363
2,Active Inference,70,9938.0,26360560.371,80.339,239,364
2,Active Inference,71,10326.0,26862471.251,79.1809,241,363
2,Active Inference,72,10836.0,27308211.91,83.5616,239,363
2,Active Inference,73,10646.0,26779899.163,81.1448,226,365
2,Active Inference,74,11679.0,26908240.821,81.9728,225,364
2,Active Inference,75,10304.0,26593136.692,78.1145,235,363
2,Active Inference,76,10393.0,26597605.541,79.5987,217,363
2,Active Inference,77,9941.0,26706073.522,83.5088,233,365
2,Active Inference,78,9624.0,26994227.078,78.5965,228,365
2,Active Inference,79,9793.0,27303082.669,81.8182,238,363
2,Active Inference,80,9843.0,26470911.386,80.6122,232,363
2,Active Inference,81,10253.0,26979183.982,82.6389,235,363
2,Active Inference,82,10079.0,26472495.629,85.0694,228,363
2,Active Inference,83,9490.0,26290531.781,81.9728,234,363
2,Active Inference,84,10224.0,26509664.112,82.3729,233,363
2,Active Inference,85,10033.0,26804899.041,82.5784,238,364
2,Active Inference,86,9368.0,26555876.327,82.0339,242,364
2,Active Inference,87,10446.0,26694159.591,82.0069,221,363
2,Active Inference,88,10328.0,26115335.239,79.4613,222,364
