scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
1,Active Inference,1,9317.0,26102062.417,80.756,238,363
1,Active Inference,2,9576.0,26383260.08,77.7397,232,364
1,Active Inference,3,8965.0,26193425.216,79.5222,234,364
1,Active Inference,4,8726.0,26375820.892,83.5664,241,364
1,Active Inference,5,7804.0,26224416.545,81.8182,236,364
1,Active Inference,6,11541.0,26946549.961,78.3051,229,363
1,Active Inference,7,10894.0,26873982.027,80.9028,226,363
1,Active Inference,8,9996.0,26614800.656,80.0664,228,365
1,Active Inference,9,10165.0,26238119.042,80.8725,229,365
1,Active Inference,10,10996.0,26911400.763,82.3529,227,363
1,Active Inference,11,9423.0,26496681.99,81.9728,228,363
1,Active Inference,12,11601.0,26626921.724,80.678,225,365
1,Active Inference,13,11895.0,27227991.593,78.8591,226,364
1,Active Inference,14,10984.0,26927433.086,82.1918,220,364
1,Active Inference,15,9971.0,26636281.308,81.5972,227,363
1,Active Inference,16,8065.0,26285809.366,79.0378,238,363
1,Active Inference,17,11505.0,26883246.556,80.137,234,364
1,Active Inference,18,9298.0,26531594.201,80.0,232,363
1,Active Inference,19,10583.0,26862683.999,82.4138,235,364
1,Active Inference,20,8656.0,26560637.601,78.4053,241,363
1,Active Inference,21,8550.0,26007906.454,80.3448,240,363
1,Active Inference,22,8890.0,26501454.074,80.0,238,364
1,Active Inference,23,10536.0,27018508.575,80.0,222,363
1,Active Inference,24,8480.0,26706340.365,81.6327,236,363
1,Active Inference,25,10919.0,27144416.92,81.0811,219,363
1,Active Inference,26,9896.0,27009762.141,80.8725,238,365
1,Active Inference,27,10196.0,26721598.457,75.6667,228,364
1,Active Inference,28,9751.0,26535712.555,84.6154,228,364
1,Active Inference,29,9598.0,26618019.545,80.0676,235,364
1,Active Inference,30,12277.0,27305817.318,80.1347,224,363
1,Active Inference,31,9137.0,26827755.237,81.25,222,363
1,Active Inference,32,11258.0,26824858.246,82.069,238,363
1,Active Inference,33,12009.0,26922064.364,80.9524,216,366
1,Active Inference,34,11432.0,27107368.959,81.1644,223,363
1,Active Inference,35,12081.0,26941479.71,81.6327,223,364
1,Active Inference,36,9706.0,26662510.464,83.3333,234,364
1,Active Inference,37,10739.0,26831555.861,80.2721,215,363
1,Active Inference,38,10214.0,26470315.5,80.137,236,364
1,Active Inference,39,10442.0,26444173.462,78.0069,221,365
1,Active Inference,40,9549.0,26420931.244,82.5784,236,363
1,Active Inference,41,9902.0,26511915.252,80.4795,237,364
1,Active Inference,42,10305.0,26878758.047,79.7297,237,364
1,Active Inference,43,9421.0,26617245.39,83.8488,238,364
1,Active Inference,44,9331.0,26306866.666,81.8493,236,364
1,Active Inference,45,8845.0,26376238.361,80.8362,228,364
1,Active Inference,46,8388.0,26548026.991,80.4054,244,364
1,Active Inference,47,10032.0,26548787.838,78.1457,229,364
1,Active Inference,48,12161.0,27146929.381,83.6237,219,363
1,Active Inference,49,11707.0,27366478.092,81.1644,229,364
1,Active Inference,50,8668.0,26513968.992,81.6327,237,364
1,Active Inference,51,8628.0,26671117.014,80.4054,248,364
1,Active Inference,52,10862.0,26860702.635,81.6327,211,364
1,Active Inference,53,9971.0,26889130.306,76.9231,233,364
1,Active Inference,54,11316.0,27147662.943,80.9689,236,363
1,Active Inference,55,10699.0,26854613.928,80.339,233,363
1,Active Inference,56,10873.0,26918213.123,80.9689,227,363
1,Active Inference,57,9740.0,26642188.07,82.8179,230,364
1,Active Inference,58,8995.0,26309673.154,82.6389,241,363
1,Active Inference,59,10568.0,26588809.885,79.0941,234,364
1,Active Inference,60,9246.0,26327776.123,82.9268,233,365
1,Active Inference,61,8689.0,26500228.118,80.0,229,363
1,Active Inference,62,11156.0,26791153.102,81.8792,212,363
1,Active Inference,63,7986.0,26039710.191,81.8493,241,363
1,Active Inference,64,9968.0,26307707.01,80.4795,237,364
1,Active Inference,65,12018.0,27173735.336,81.8493,232,363
1,Active Inference,66,9854.0,26626155.352,83.391,225,364
1,Active Inference,67,10679.0,26997308.296,78.1145,230,364
1,Active Inference,68,8800.0,26227529.328,76.7677,239,364
1,Active Inference,69,9733.0,26567245.813,81.5068,231,364
1,Active Inference,70,9137.0,26401053.06,80.756,228,364
1,Active Inference,71,9728.0,26254986.021,82.2148,236,364
1,Active Inference,72,8536.0,26447672.436,79.3814,236,363
1,Active Inference,73,9502.0,26475826.218,80.5461,232,366
1,Active Inference,74,11007.0,26510483.087,78.5714,226,364
1,Active Inference,75,13043.0,27165444.997,79.2079,223,363
1,Active Inference,76,9210.0,26674242.666,80.137,228,363
1,Active Inference,77,9792.0,26584475.974,78.9116,228,363
1,Active Inference,78,8720.0,26555175.953,79.9308,242,364
1,Active Inference,79,10627.0,26915839.215,81.0345,215,364
1,Active Inference,80,11659.0,26670850.185,79.8013,231,363
1,Active Inference,81,12767.0,26828208.869,78.7162,212,364
1,Active Inference,82,7756.0,26298013.665,79.4521,248,363
1,Active Inference,83,8693.0,26354855.087,80.8219,232,364
1,Active Inference,84,10829.0,26751887.056,83.045,221,363
1,Active Inference,85,8987.0,26316398.822,81.25,234,363
1,Active Inference,86,11970.0,27517838.842,81.6393,230,364
1,Active Inference,87,10113.0,26434628.299,82.8767,241,363
1,Active Inference,88,10165.0,26609905.046,77.0,225,365
1,Active Inference,89,11349.0,26593976.836,78.3972,219,363
1,Active Inference,90,9487.0,26499023.685,84.6154,248,363
1,Active Inference,91,10901.0,26610154.577,80.3333,224,366
1,Active Inference,92,9787.0,26252064.907,84.2105,241,363
1,Active Inference,93,11009.0,26963600.073,79.3333,239,363
1,Active Inference,94,11544.0,26963452.479,81.2287,230,364
1,Active Inference,95,11343.0,26752035.164,79.322,223,364
1,Active Inference,96,8940.0,26362493.64,79.7297,232,363
1,Active Inference,97,9304.0,26711617.624,79.5139,231,363
1,Active Inference,98,7622.0,26258549.798,81.8493,257,364
1,Active Inference,99,10333.0,26888354.995,77.9661,228,363
1,Active Inference,100,10104.0,26707242.811,80.2013,228,363
1,DQN,1,10555.0,27134197.947,89.5623,196,363
1,DQN,2,9844.0,26871453.192,91.0959,202,363
1,DQN,3,10952.0,27281482.563,90.4762,196,364
1,DQN,4,11506.0,27483468.887,90.2357,194,364
1,DQN,5,12308.0,27293187.174,91.4966,196,365
1,DQN,6,11717.0,27701839.618,90.6355,200,364
1,DQN,7,10019.0,26738993.539,91.7526,206,364
1,DQN,8,11229.0,26773441.49,90.8163,200,363
1,DQN,9,10797.0,26832153.758,90.6355,198,364
1,DQN,10,12067.0,27224615.936,91.5541,192,363
1,DQN,11,11220.0,27028742.236,90.8475,200,364
1,DQN,12,10693.0,26851857.609,90.8163,204,364
1,DQN,13,11916.0,27331509.416,90.4762,200,363
1,DQN,14,11673.0,27010241.924,91.5254,196,363
1,DQN,15,10948.0,27452994.564,90.8784,196,364
1,DQN,16,10991.0,27285806.725,89.404,206,364
1,DQN,17,10252.0,27212999.465,90.5405,196,364
1,DQN,18,10307.0,26753218.559,90.1695,200,363
1,DQN,19,11074.0,26994294.459,90.8163,192,363
1,DQN,20,10714.0,26982922.427,90.4437,206,364
1,DQN,21,11575.0,27114620.853,90.2357,196,363
1,DQN,22,12134.0,27488639.309,91.0,188,364
1,DQN,23,11023.0,27473012.516,90.1695,204,364
1,DQN,24,11371.0,27224702.261,90.1695,198,364
1,DQN,25,11604.0,27430187.861,89.9666,196,363
1,DQN,26,11333.0,27302910.27,89.6667,196,364
1,DQN,27,10355.0,27124611.805,89.6667,206,363
1,DQN,28,10772.0,27323726.815,90.411,204,364
1,DQN,29,11487.0,27346623.922,89.701,200,363
1,DQN,30,11446.0,27517437.815,90.5405,190,364
1,DQN,31,9351.0,26727931.808,91.4966,204,364
1,DQN,32,10623.0,27031583.318,92.069,202,364
1,DQN,33,10856.0,26942599.031,90.1361,198,363
1,DQN,34,11123.0,27256185.879,89.404,198,363
1,DQN,35,10398.0,27086559.003,91.2752,200,363
1,DQN,36,10684.0,27227731.453,89.5623,204,364
1,DQN,37,11041.0,27053801.58,91.2162,198,363
1,DQN,38,11266.0,27118577.676,91.8089,198,363
1,DQN,39,12140.0,27331412.131,90.8163,198,365
1,DQN,40,11922.0,27520853.759,90.9699,190,363
1,DQN,41,12182.0,27632113.123,89.7959,204,364
1,DQN,42,12139.0,27599801.987,90.7216,190,364
1,DQN,43,12056.0,27491861.679,90.2685,186,363
1,DQN,44,10834.0,26750035.136,89.2256,206,363
1,DQN,45,11351.0,27406443.871,91.1864,192,363
1,DQN,46,10627.0,27281045.047,91.0,198,364
1,DQN,47,10235.0,26700898.938,91.1565,198,364
1,DQN,48,13214.0,27569965.251,90.5085,184,363
1,DQN,49,11030.0,27298979.428,90.7216,202,363
1,DQN,50,10539.0,26964876.246,91.1565,198,364
1,DQN,51,9878.0,26632706.856,90.5085,212,364
1,DQN,52,10481.0,27271577.051,90.4762,198,364
1,DQN,53,10644.0,26906134.406,90.8163,194,364
1,DQN,54,10535.0,26688064.857,91.8644,200,363
1,DQN,55,10765.0,27424501.158,92.8814,200,364
1,DQN,56,11417.0,27496854.782,90.411,198,364
1,DQN,57,11830.0,27373825.803,89.527,192,363
1,DQN,58,9353.0,26712824.176,91.4384,206,363
1,DQN,59,10934.0,27166213.05,90.2685,190,363
1,DQN,60,12996.0,27606201.381,91.2162,192,364
1,DQN,61,11511.0,27173336.49,90.4437,190,364
1,DQN,62,10879.0,26996753.756,91.0035,202,363
1,DQN,63,11442.0,27197741.044,92.1502,196,363
1,DQN,64,10395.0,27127336.383,90.604,208,364
1,DQN,65,10960.0,27182287.499,90.5085,196,363
1,DQN,66,10678.0,27139019.13,89.0,204,364
1,DQN,67,11131.0,26918117.004,91.7808,188,364
1,DQN,68,11487.0,27405169.322,89.9329,198,364
1,DQN,69,10685.0,27011534.229,88.8889,196,364
1,DQN,70,10301.0,26841380.047,90.1361,202,364
1,DQN,71,11286.0,27156843.497,90.1361,200,363
1,DQN,72,10397.0,27208956.861,92.1502,198,363
1,DQN,73,10603.0,27433029.945,89.6667,200,363
1,DQN,74,10166.0,26647051.294,89.2256,208,363
1,DQN,75,10171.0,27041596.879,90.411,202,364
1,DQN,76,10347.0,26825470.663,89.1892,202,363
1,DQN,77,11789.0,27301990.691,88.5621,190,364
1,DQN,78,11211.0,27239178.419,91.4089,186,364
1,DQN,79,10852.0,27335235.894,90.1024,194,364
1,DQN,80,10785.0,26702795.635,88.4106,204,364
1,DQN,81,10721.0,27286373.049,90.5405,206,363
1,DQN,82,11060.0,27343692.1,91.5254,204,363
1,DQN,83,11410.0,27433879.959,90.9396,192,364
1,DQN,84,10255.0,26877400.623,88.9262,200,364
1,DQN,85,11072.0,27254928.065,89.9329,194,364
1,DQN,86,10296.0,26972582.435,91.1263,200,363
1,DQN,87,10794.0,26938069.874,87.9599,202,364
1,DQN,88,11394.0,27386812.882,91.1864,198,363
1,DQN,89,11309.0,27009828.089,91.8367,202,364
1,DQN,90,12192.0,27091434.128,91.4676,192,363
1,DQN,91,10760.0,26960676.323,92.1502,192,364
1,DQN,92,11281.0,27301666.023,89.7959,196,363
1,DQN,93,11096.0,26856221.515,92.1769,200,363
1,DQN,94,10949.0,27346638.52,89.2617,198,363
1,DQN,95,11177.0,27089137.907,91.4089,202,364
