scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
1,Rule-Based,1,13806.000,27440190.522,88.6207,133,364
1,Rule-Based,2,14939.000,27771398.883,89.4558,131,364
1,Rule-Based,3,13261.000,27144687.567,87.6289,137,364
1,Rule-Based,4,14277.000,27902814.512,89.2361,133,364
1,Rule-Based,5,14272.000,27648116.333,88.3162,133,364
1,Rule-Based,6,14256.000,27576104.185,88.2759,135,364
1,Rule-Based,7,14300.000,27661100.316,87.6712,135,364
1,Rule-Based,8,15237.000,27584243.354,88.7755,131,364
1,Rule-Based,9,14403.000,27603581.717,88.7755,133,364
1,Rule-Based,10,13197.000,27488330.293,89.8955,137,364
1,Rule-Based,11,14263.000,27607696.091,88.7755,133,364
1,Rule-Based,12,14669.000,28101160.808,89.6552,133,364
1,Rule-Based,13,13476.000,27522413.346,86.3481,135,364
1,Rule-Based,14,13328.000,27255356.648,89.3471,139,364
1,Rule-Based,15,13517.000,27337962.866,88.5017,135,364
1,Rule-Based,16,14790.000,27873896.691,87.3288,131,364
1,Rule-Based,17,14967.000,27784350.951,88.6986,131,364
1,Rule-Based,18,13723.000,27513754.145,88.8112,137,364
1,Rule-Based,19,14833.000,27720794.017,90.3780,131,364
1,Rule-Based,20,13663.000,27450811.396,87.6712,135,364
1,Rule-Based,21,12957.000,27529252.674,88.6986,137,364
1,Rule-Based,22,13963.000,27132593.155,89.0411,135,364
1,Rule-Based,23,14835.000,27412832.471,89.0034,131,364
1,Rule-Based,24,13464.000,27410150.294,88.3162,135,364
1,Rule-Based,25,14089.000,27715743.406,88.6986,133,364
1,Rule-Based,26,14278.000,27519986.003,90.0000,135,364
1,Rule-Based,27,13565.000,27563070.064,90.4110,135,364
1,Rule-Based,28,13572.000,27650841.029,88.6207,135,364
1,Rule-Based,29,14248.000,27669704.244,88.7372,135,364
1,Rule-Based,30,14948.000,28096596.352,87.8893,131,364
1,Rule-Based,31,13768.000,27225085.037,87.5862,131,364
1,Rule-Based,32,14020.000,27485545.132,89.5470,135,364
1,Rule-Based,33,14219.000,27439874.783,87.6712,133,364
1,Rule-Based,34,13593.000,27408518.065,87.9725,135,364
1,Rule-Based,35,15329.000,28015256.214,88.6667,129,364
1,Rule-Based,36,15446.000,27954132.065,89.0034,131,364
1,Rule-Based,37,14558.000,27825310.056,88.6986,131,364
1,Rule-Based,38,13564.000,27420223.682,88.9655,133,364
1,Rule-Based,39,14814.000,28081135.744,90.4110,133,364
1,Rule-Based,40,13975.000,27507575.427,88.6598,137,364
1,Rule-Based,41,13392.000,27441210.830,89.5105,137,364
1,Rule-Based,42,14681.000,27642508.860,89.3471,135,364
1,Rule-Based,43,13962.000,27345877.577,88.9655,135,364
1,Rule-Based,44,15299.000,27761257.732,89.8305,133,364
1,Rule-Based,45,13211.000,27243565.831,87.4576,135,364
1,Rule-Based,46,13663.000,27633824.454,89.6907,135,364
1,Rule-Based,47,13788.000,27608312.804,87.5862,135,364
1,Rule-Based,48,13468.000,27393172.778,88.8502,139,364
1,Rule-Based,49,14082.000,27301880.661,89.1156,135,364
1,Rule-Based,50,14086.000,27370743.161,90.3448,135,364
1,Rule-Based,51,13778.000,27525934.126,89.9306,137,364
1,Rule-Based,52,14479.000,27769183.384,89.6907,131,364
1,Rule-Based,53,14285.000,27859009.623,88.6986,135,364
1,Rule-Based,54,13716.000,27350901.936,89.6552,135,364
1,Rule-Based,55,15585.000,27768204.970,89.3471,131,364
1,Rule-Based,56,13654.000,27580832.080,88.6986,133,364
1,Rule-Based,57,13560.000,27346426.000,88.6207,137,364
1,Rule-Based,58,13753.000,27360660.240,88.7372,135,364
1,Rule-Based,59,14222.000,27525779.563,88.9655,133,364
1,Rule-Based,60,14215.000,27394766.860,88.6598,135,364
1,Rule-Based,61,14032.000,27432115.722,88.6598,133,364
1,Rule-Based,62,14214.000,27499581.662,87.5862,133,364
1,Rule-Based,63,14122.000,27722849.483,88.6207,133,364
1,Rule-Based,64,13616.000,27739035.109,90.0000,135,364
1,Rule-Based,65,14452.000,27359578.742,88.9273,131,364
1,Rule-Based,66,13758.000,27362927.872,87.8893,135,364
1,Rule-Based,67,13278.000,27252342.424,89.5470,135,364
1,Rule-Based,68,13783.000,27434875.375,89.0034,135,364
1,Rule-Based,69,14363.000,27701176.525,90.0000,133,364
1,Rule-Based,70,13025.000,27423521.570,87.0307,137,364
1,Rule-Based,71,14373.000,27741523.646,90.5923,133,364
1,Rule-Based,72,14130.000,27642075.249,89.0411,135,364
1,Rule-Based,73,14538.000,27821856.277,89.3471,131,364
1,Rule-Based,74,14747.000,27719566.872,89.3836,131,364
1,Rule-Based,75,15502.000,28045565.128,89.4198,131,364
