scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
1,Active Inference,1,7754.000,25835802.936,79.2982,254,363
1,Active Inference,2,7160.000,25824080.666,80.3571,263,364
1,Active Inference,3,6978.000,26151614.316,81.6901,268,363
1,Active Inference,4,7552.000,26076705.539,82.0069,255,363
1,Active Inference,5,7706.000,26321987.784,80.2817,262,365
1,Active Inference,6,7022.000,25863734.707,81.1644,263,363
1,Active Inference,7,7592.000,26026923.633,77.1626,252,363
1,Active Inference,8,6881.000,25878089.261,81.9788,265,363
1,Active Inference,9,6948.000,25944791.031,80.7018,266,363
1,Active Inference,10,6747.000,25510493.254,83.7456,266,364
1,Active Inference,11,6801.000,26106810.368,80.9187,264,363
1,Active Inference,12,7624.000,26215561.485,77.2414,258,365
1,Active Inference,13,7111.000,25676242.068,82.2064,266,363
1,Active Inference,14,7346.000,26180339.785,79.0210,262,363
1,Active Inference,15,6518.000,25785637.851,77.8947,274,363
1,Active Inference,16,6535.000,25509078.623,78.9474,264,363
1,Active Inference,17,7445.000,26012824.970,78.3972,264,363
1,Active Inference,18,7163.000,26142511.242,80.2120,256,363
1,Active Inference,19,7780.000,26359801.189,78.6942,260,363
1,Active Inference,20,7167.000,26064968.574,79.8611,257,363
1,Active Inference,21,6444.000,25621445.985,80.7143,266,363
1,Active Inference,22,6737.000,25627411.856,78.8194,272,363
1,Active Inference,23,7798.000,25851793.727,81.2500,258,363
1,Active Inference,24,7151.000,26088673.443,82.1678,261,363
1,Active Inference,25,7328.000,26196231.724,80.4196,268,363
1,Active Inference,26,6842.000,26000204.852,80.9028,277,363
1,Active Inference,27,7439.000,25894594.369,82.0690,252,363
1,Active Inference,28,7574.000,26643553.569,78.7234,263,364
1,Active Inference,29,7326.000,26029187.320,80.4878,260,363
1,Active Inference,30,8002.000,25961027.026,78.8732,255,363
1,Active Inference,31,7515.000,26135997.984,80.0000,266,363
1,Active Inference,32,6582.000,25510746.025,78.2007,266,363
1,Active Inference,33,6654.000,25696253.461,79.8611,262,363
1,Active Inference,34,7010.000,25866270.819,81.4947,262,363
1,Active Inference,35,6806.000,26043942.412,79.8587,260,363
1,Active Inference,36,6969.000,25686547.020,82.5784,261,364
1,Active Inference,37,7296.000,25758703.419,83.8596,265,363
1,Active Inference,38,6648.000,25723713.184,82.3944,267,363
1,Active Inference,39,7856.000,25784269.209,81.0526,250,364
1,Active Inference,40,6490.000,25854875.268,82.3529,262,364
1,Active Inference,41,7198.000,25947265.614,80.0000,264,363
1,Active Inference,42,7063.000,26189645.216,79.8611,276,365
1,Active Inference,43,7345.000,25799607.542,83.0986,260,363
1,Active Inference,44,7593.000,26163002.148,79.7203,250,363
1,Active Inference,45,7830.000,26408746.719,79.3706,262,363
1,Active Inference,46,7442.000,25625183.952,81.3380,258,365
1,Active Inference,47,6908.000,25844834.515,81.4433,270,363
1,Active Inference,48,6975.000,25633191.175,79.0036,270,363
1,Active Inference,49,8123.000,26205557.357,81.3380,256,363
1,Active Inference,50,8319.000,26466951.497,81.4685,252,363
1,Active Inference,51,7239.000,26167404.653,81.2057,254,364
1,Active Inference,52,7330.000,25828299.828,81.7241,261,363
1,Active Inference,53,7692.000,26249227.044,81.5331,243,363
1,Active Inference,54,8303.000,26109375.307,79.5053,254,363
1,Active Inference,55,7687.000,26214366.458,80.0000,259,363
1,Active Inference,56,8007.000,26298399.064,81.6901,254,363
1,Active Inference,57,7180.000,25975291.792,80.5654,264,363
1,Active Inference,58,7831.000,26202880.959,79.7909,262,363
