scenario,controller,seed,ttime,North_CO2,East_CO2,vehicles_NS,vehicles_EW,observed_NS,observed_EW,bus_count_NS,bus_count_EW,phase,idle_time_NS,idle_time_EW
4,Active Inference,1,10.0,24203.185307781365,8852.95943127309,5,4,5,4,1,0,2,0.0,0.0
4,Active Inference,1,20.0,38920.746702773424,0.0,6,2,6,2,1,0,2,0.0,0.0
4,Active Inference,1,30.0,29008.798508438605,0.0,6,0,5,0,1,0,2,37.0,0.0
4,Active Inference,1,40.0,23165.555555555555,0.0,6,0,4,0,1,0,2,91.0,0.0
4,Active Inference,1,50.0,23165.555555555555,7057.825597938172,6,2,5,2,1,0,0,151.0,0.0
4,Active Inference,1,60.0,0.0,14386.591616917794,0,3,0,0,0,0,2,0.0,0.0
4,Active Inference,1,70.0,3204.182419692807,50053.190661109824,1,4,1,4,0,0,2,0.0,0.0
4,Active Inference,1,80.0,0.0,47514.147757488885,1,4,1,4,0,0,0,0.0,0.0
4,Active Inference,1,90.0,0.0,12629.908373677375,0,4,0,4,0,0,2,0.0,16.0
4,Active Inference,1,100.0,0.0,12517.432281018293,0,2,0,2,0,0,0,0.0,0.0
4,Active Inference,1,110.0,6068.4561019800185,5160.958817276082,2,2,2,2,0,0,2,0.0,0.0
4,Active Inference,1,120.0,3024.1295070615956,7808.902473746105,3,2,3,2,0,0,0,0.0,0.0
4,Active Inference,1,130.0,0.0,4096.173924117919,1,2,1,2,0,0,2,0.0,0.0
4,Active Inference,1,140.0,18518.13261578067,5249.444444444444,2,2,2,2,0,0,0,1.0,0.0
4,Active Inference,1,150.0,17674.362215656744,2181.9463286513806,1,2,1,2,0,0,2,0.0,0.0
4,Active Inference,1,160.0,7270.856157619504,0.0,1,0,1,0,0,0,0,1.0,0.0
4,Active Inference,1,170.0,0.0,9006.017886186062,0,1,0,1,0,0,2,0.0,0.0
4,Active Inference,1,180.0,9373.179398847884,40062.40168817196,1,3,1,1,0,0,0,0.0,0.0
4,Active Inference,1,190.0,1578.5204798018437,50149.54714076602,1,6,1,6,0,1,2,0.0,0.0
4,Active Inference,1,200.0,12741.649365079082,15642.617739676247,3,3,3,3,0,1,2,8.0,0.0
4,Active Inference,1,210.0,2624.722222222222,43031.323161330554,3,2,3,2,0,1,0,18.0,0.0
4,Active Inference,1,220.0,10559.240903686683,27598.496111710236,1,2,1,2,1,1,2,0.0,0.0
4,Active Inference,1,230.0,7119.943045790437,29128.394515502732,2,4,2,4,1,0,0,0.0,0.0
4,Active Inference,1,240.0,0.0,16171.223949210973,1,5,1,4,0,1,2,0.0,0.0
4,Active Inference,1,250.0,2624.5091249210295,30894.77517341411,1,1,1,1,0,1,0,3.0,0.0
4,Active Inference,1,260.0,0.0,0.0,0,1,0,1,0,1,2,0.0,0.0
4,Active Inference,1,270.0,0.0,11600.202259442924,0,2,0,2,0,0,0,0.0,0.0
4,Active Inference,1,280.0,11072.51874924747,14174.3537029012,3,4,3,4,0,0,2,0.0,0.0
4,Active Inference,1,290.0,5489.503049686733,31951.66448498264,3,3,3,1,0,1,0,0.0,0.0
4,Active Inference,1,300.0,12216.869957978368,14713.09590900617,2,3,2,1,0,1,2,0.0,6.0
4,Active Inference,1,310.0,39568.97116830748,13570.14013694215,3,2,3,2,0,0,0,7.0,0.0
4,Active Inference,1,320.0,40502.20770938306,2419.178151127307,2,2,2,2,0,0,2,0.0,0.0
4,Active Inference,1,330.0,22128.208342621223,16645.452642057367,4,2,4,2,1,0,0,5.0,0.0
4,Active Inference,1,340.0,37031.26589014187,8361.126535679246,2,2,2,2,1,0,0,0.0,0.0
4,Active Inference,1,350.0,13922.033273681536,5249.184301653358,1,4,1,4,1,0,0,0.0,9.0
4,Active Inference,1,360.0,0.0,38512.314616704345,0,6,0,5,0,0,2,0.0,29.0
4,Active Inference,1,370.0,19157.354372126552,47438.600378680894,3,3,2,3,1,1,0,0.0,0.0
4,Active Inference,1,380.0,20408.904733318785,76403.18120015602,2,8,2,8,1,2,2,0.0,4.0
4,Active Inference,1,390.0,5098.930751642617,24860.741476851297,2,5,2,5,1,2,2,1.0,0.0
4,Active Inference,1,400.0,7910.833333333334,0.0,2,0,2,0,1,0,0,19.0,0.0
4,Active Inference,1,410.0,0.0,0.0,0,0,0,0,0,0,2,0.0,0.0
4,Active Inference,1,420.0,4162.209766988079,43165.244082912555,1,5,1,3,0,1,0,0.0,0.0
4,Active Inference,1,430.0,6122.600990494965,10232.840018033665,1,5,1,3,0,1,2,0.0,0.0
4,Active Inference,1,440.0,33622.027135332755,0.0,4,0,4,0,1,0,2,4.0,0.0
4,Active Inference,1,450.0,45729.7672192209,16092.28924968552,5,3,5,2,2,0,0,14.0,0.0
4,Active Inference,1,460.0,29899.775619302007,31363.28486119581,2,3,2,2,1,0,0,0.0,0.0
4,Active Inference,1,470.0,33941.77234700054,6492.296941115583,3,5,3,5,0,0,2,0.0,1.0
4,Active Inference,1,480.0,22775.736592037938,0.0,3,1,3,1,0,0,0,0.0,0.0
4,Active Inference,1,490.0,0.0,29657.69332067663,0,4,0,2,0,0,2,0.0,8.0
4,Active Inference,1,500.0,0.0,46358.9111184362,0,4,0,4,0,0,0,0.0,0.0
4,Active Inference,1,510.0,16198.667073620956,42988.62706535372,4,6,4,5,0,0,2,0.0,9.0
4,Active Inference,1,520.0,5475.935055921779,46155.62787681216,4,6,3,4,0,1,0,0.0,0.0
4,Active Inference,1,530.0,0.0,32600.121383217287,0,6,0,4,0,1,2,0.0,25.0
4,Active Inference,1,540.0,0.0,10572.222222222223,0,2,0,2,0,2,2,0.0,0.0
4,Active Inference,1,550.0,10288.577975915541,79945.57883664581,1,6,1,6,0,2,2,0.0,0.0
4,Active Inference,1,560.0,2791.776820520177,32268.629473973175,1,6,1,4,0,2,2,0.0,0.0
4,Active Inference,1,570.0,2624.690041338856,0.0,1,0,1,0,0,0,0,6.0,0.0
4,Active Inference,1,580.0,25276.23425575725,0.0,3,0,3,0,1,0,2,0.0,0.0
4,Active Inference,1,590.0,7611.870005477074,16105.601492550526,4,4,4,4,1,0,0,0.0,0.0
4,Active Inference,1,600.0,1402.3951108820115,0.0,1,4,1,3,0,0,2,0.0,0.0
4,Active Inference,1,610.0,2624.722222222222,0.0,1,0,1,0,0,0,0,9.0,0.0
4,Active Inference,1,620.0,24747.783924318952,38645.272134426275,1,4,1,4,1,2,2,0.0,0.0
4,Active Inference,1,630.0,11107.35275866163,47624.86128721824,2,6,2,6,1,3,0,0.0,0.0
4,Active Inference,1,640.0,5249.444444444444,19790.554955564316,3,6,3,6,0,3,2,0.0,12.0
4,Active Inference,1,650.0,4640.368247865575,17687.05098332322,3,3,3,2,0,0,0,7.0,0.0
4,Active Inference,1,660.0,23238.290356762485,24332.515761117324,2,5,2,3,0,0,2,0.0,0.0
4,Active Inference,1,670.0,18082.689560641567,21638.20411294652,2,3,2,2,0,1,0,0.0,0.0
4,Active Inference,1,680.0,13078.422339139266,17342.43758370584,1,5,1,5,1,1,2,0.0,3.0
4,Active Inference,1,690.0,15446.172386305443,0.0,1,0,1,0,1,0,0,0.0,0.0
4,Active Inference,1,700.0,28623.95735343425,21019.143341261763,2,4,2,4,1,0,2,0.0,0.0
4,Active Inference,1,710.0,10014.705825267452,47245.158304853816,4,6,2,5,1,2,0,0.0,0.0
4,Active Inference,1,720.0,0.0,39032.94621520974,0,6,0,5,0,2,2,0.0,12.0
4,Active Inference,1,730.0,2624.722222222222,14312.41517682801,1,4,1,4,0,0,2,0.0,0.0
4,Active Inference,1,740.0,0.0,8991.669282551002,1,4,1,4,0,0,0,0.0,0.0
4,Active Inference,1,750.0,7380.555555555556,5229.101244049811,1,4,1,4,0,0,2,0.0,3.0
4,Active Inference,1,760.0,33917.49040918487,16504.373167445636,3,2,0,2,0,0,0,0.0,0.0
4,Active Inference,1,770.0,28083.06755761533,14740.04710364303,4,4,3,4,0,0,2,0.0,0.0
4,Active Inference,1,780.0,12442.144965515308,22799.7843038845,4,3,3,2,0,1,0,6.0,0.0
